DN sort_id size average sd prov sd_prov sel_id xcoord ycoord
564228 370 621 22 0 7 0 564228 18.71120175 4.32294504
579084 371 104 22 0 8 0 579084 19.79958863 4.31683213
574943 372 235 22 0 12 0 574943 22.6404227 4.31699778
573401 373 180 22 0 7 0 573401 18.71826516 4.31889877
577036 374 141 22 0 12 0 577036 22.58216444 4.31734966
580120 375 58 12 0 7 0 580120 18.71325525 4.31635866
577763 376 93 22 0 12 0 577763 23.66703374 4.31683553
581343 377 63 12 0 8 0 581343 20.23024015 4.31499323
577978 378 76 22 0 7 0 577978 18.71458033 4.31633515
580931 379 85 12 0 7 0 580931 18.7179954 4.31454711
572377 380 189 22 0 8 0 572377 20.28829424 4.3182025
583160 381 58 22 0 12 0 583160 23.61542268 4.3135941
581623 382 119 22 0 7 0 581623 18.71012905 4.31440419
584206 383 72 22 0 12 0 584206 22.62856832 4.31271267
584180 384 65 22 0 8 0 584180 20.22652098 4.31247261
584210 385 61 22 0 12 0 584210 22.64708878 4.31244851
583831 386 181 22 0 12 0 583831 22.62129566 4.3115941
586547 387 64 22 0 8 0 586547 20.00191462 4.31082825
583836 388 94 22 0 12 0 583836 22.64014013 4.31215668
588765 389 59 22 0 8 0 588765 19.95184632 4.30922342
590555 390 63 22 0 12 0 590555 23.71193005 4.30815477
589119 391 254 22 0 8 0 589119 20.10085468 4.30696737
596735 392 57 22 0 12 0 596735 23.71563794 4.30364089
594448 393 141 22 0 12 0 594448 22.65101811 4.303801
595143 394 234 22 0 8 0 595143 20.22124448 4.30283623
600314 395 80 22 0 7 0 600314 18.69462898 4.30020698
601888 396 131 22 0 12 0 601888 22.59630364 4.29949463
599277 397 72 12 0 8 0 599277 20.21583214 4.30065164
605389 398 71 22 0 12 0 605389 23.57314094 4.29794976
604446 399 62 22 0 7 0 604446 19.00935599 4.29866398
602225 400 59 22 0 8 0 602225 20.21973133 4.29891081
594399 401 196 22 0 8 0 594399 20.22815577 4.30164868
599669 402 166 22 0 12 0 599669 22.57339436 4.29969279
604840 403 75 22 0 7 0 604840 18.69124663 4.29756697
606868 404 61 12 0 7 0 606868 19.01931705 4.2961902
604844 405 111 22 0 7 0 604844 18.70988529 4.29724811
605677 406 111 22 0 8 0 605677 20.23225781 4.29655988
603303 407 72 22 0 7 0 603303 18.68387039 4.29761107
606917 408 62 22 0 8 0 606917 20.09332771 4.29647398
605725 409 81 22 0 12 0 605725 22.56127262 4.29601226
602611 410 127 22 0 8 0 602611 20.12368899 4.29713159
606130 411 99 22 0 12 0 606130 22.67070407 4.29614344
606977 412 144 22 0 12 0 606977 22.56674847 4.29443178
610569 413 91 22 0 8 0 610569 21.02919587 4.29372339
601436 414 345 22 0 7 0 601436 18.70382314 4.29745321
612243 415 60 22 0 12 0 612243 22.62059011 4.29295461
607506 416 85 22 0 12 0 607506 25.00525952 4.29324731
609535 417 115 22 0 12 0 609535 26.58620396 4.29345497
610890 418 83 22 0 7 0 610890 18.68132341 4.29299961
611824 419 63 22 0 12 0 611824 22.59472414 4.29279393
612751 420 59 22 0 12 0 612751 25.08240408 4.2925009
611397 421 359 22 0 8 0 611397 20.13623493 4.29198601
615369 422 87 12 0 7 0 615369 18.68691135 4.29042742
604099 423 414 22 0 8 0 604099 19.96272639 4.29360077
612511 424 212 22 0 7 0 612511 18.56659931 4.29128319
617187 425 56 22 0 12 0 617187 22.58944907 4.28854079
614954 426 195 22 0 7 0 614954 18.70904131 4.2893049
613673 427 175 22 0 7 0 613673 18.68457682 4.2900241
617541 428 128 22 0 8 0 617541 20.07157372 4.28858567
618799 429 58 22 0 12 0 618799 22.56540071 4.28731226
620292 430 85 22 0 7 0 620292 18.69571747 4.28650518
620592 431 63 22 0 13 0 620592 27.76341895 4.28677814
621122 432 135 22 0 8 0 621122 20.07728254 4.28562926
623021 433 55 12 0 7 0 623021 18.68416147 4.28511738
626210 434 93 22 0 12 0 626210 22.78200728 4.28306409
624235 435 71 22 0 7 0 624235 19.23196196 4.28450222
627610 436 60 22 0 12 0 627610 27.07598319 4.28259344
629952 437 60 22 0 12 0 629952 27.06840239 4.28146419
625935 438 76 22 0 12 0 625935 25.01103163 4.28275611
626618 439 107 22 0 12 0 626618 22.76618809 4.28269398
624964 440 110 22 0 7 0 624964 18.69230136 4.283137
626191 441 85 22 0 12 0 626191 22.56406509 4.28260853
629225 442 87 22 0 7 0 629225 18.55947208 4.28072512
629714 443 97 22 0 8 0 629714 20.07905899 4.28034307
630765 444 63 22 0 12 0 630765 25.07170426 4.28030817
628120 445 70 22 0 8 0 628120 21.01586591 4.28050527
623818 446 122 22 0 7 0 623818 18.68696867 4.28278837
627722 447 122 22 0 8 0 627722 20.00356662 4.28123512
629704 448 62 22 0 8 0 629704 19.96127079 4.28009911
634366 449 58 22 0 8 0 634366 21.04061136 4.27814828
625415 450 189 22 0 12 0 625415 22.55231939 4.28036958
632675 451 72 22 0 8 0 632675 20.06820159 4.27867782
633190 452 55 22 0 12 0 633190 22.58981007 4.27820202
636585 453 56 22 0 12 0 636585 22.63994701 4.27627783
635279 454 216 22 0 12 0 635279 22.66959034 4.27625337
639823 455 59 22 0 8 0 639823 19.93900818 4.27478099
636427 456 136 22 0 7 0 636427 18.70502601 4.2751836
632972 457 169 22 0 12 0 632972 27.05824532 4.27719457
638929 458 92 22 0 8 0 638929 19.43288185 4.27423002
641620 459 77 22 0 8 0 641620 19.93203825 4.2727226
642016 460 55 12 0 7 0 642016 18.67780072 4.27208176
635623 461 412 22 0 8 0 635623 20.26821481 4.27482194
641945 462 65 22 0 12 0 641945 27.0293401 4.27272924
